1	2	3	4	5	6	7	8
2	1	4	3	7	8	5	6
3	4	1	2	6	5	8	7
4	3	2	1	8	7	6	5
5	6	7	8	1	2	3	4
6	5	8	7	3	4	1	2
7	8	5	6	2	1	4	3
8	7	6	5	4	3	2	1
