1	2	3	4	5	6	7	8
2	1	7	8	6	5	3	4
3	4	1	2	7	8	5	6
4	3	5	6	8	7	1	2
5	6	4	3	1	2	8	7
6	5	8	7	2	1	4	3
7	8	2	1	3	4	6	5
8	7	6	5	4	3	2	1
